index,title,genres,cast,keywords,director
4623,Death Race 2000,Action Comedy Science Fiction,David Carradine Simone Griffeth Sylvester Stallone Mary Woronov Roberta Collins,dystopia street race reality spoof,Paul Bartel
4624,Locker 13,Horror Drama Thriller,Ricky Schroder Jon Gries Tatyana Ali Jason Marsden Rick Hoffman,terror anthology suspense,Jason Marsden
4625,Midnight Cabaret,Horror,Lisa Hart Carroll Michael Des Barres Paul Drake Laura Harrington Thom Mathews,,Pece Dingo
4626,Anderson's Cross,Romance Comedy Drama,Joanna Cassidy Joyce Guy Bill Moseley Jerome Elston Scott Alan Blumenfeld,coming of age,Jerome Elston Scott
4627,Bizarre,Drama Romance,Pierre Prieur Adrian James Raquel Nave Rebekah Underhill Charlie Himmelstein,,\u00c9tienne Faure
4628,Graduation Day,Horror,Christopher George Billy Hufsey Patch Mackenzie E. Danny Murphy E. J. Peaker,slasher,Herb Freed
4629,Some Guy Who Kills People,Comedy Horror Thriller,Kevin Corrigan Barry Bostwick Karen Black Leo Fitzpatrick Ariel Gade,,Jack Perez
4630,Compliance,Drama Thriller Crime,Ann Dowd Dreama Walker Pat Healy Philip Ettinger James McCaffrey,,Craig Zobel
4631,Chasing Amy,Comedy Drama Romance,Ben Affleck Joey Lauren Adams Jason Lee Dwight Ewell Jason Mewes,new jersey coming out love of one's life bisexuality menage a trois,Kevin Smith
4632,Lovely & Amazing,Comedy Drama Romance,Catherine Keener Brenda Blethyn Emily Mortimer Jake Gyllenhaal James Le Gros,woman director,Nicole Holofcener
4633,Death Calls,,,,
4634,Better Luck Tomorrow,Crime Drama,Parry Shen Jason Tobin Sung Kang Karin Anna Cheung Roger Fan,,Justin Lin
4635,The Incredibly True Adventure of Two Girls In Love,Comedy Drama Romance,Laurel Holloman Maggie Moore Kate Stafford Nicole Ari Parker Toby Poser,lesbian relationship independent film lesbian interest lgbt woman director,Maria Maggenti
4636,Chuck & Buck,Comedy Drama,Mike White Chris Weitz Lupe Ontiveros Maya Rudolph Paul Weitz,gay independent film mentally handicapped man,Miguel Arteta
4637,American Desi,Drama Comedy Romance,Kal Penn Purva Bedi Deep Katdare Ronobir Lahiri Rizwan Manji,tradition indian lead roommate culture clash college,Piyush Dinker Pandya
4638,Amidst the Devil's Wings,Drama Action Crime,,,
4639,Cube,Thriller Science Fiction Mystery,Nicole de Boer Nicky Guadagni David Hewlett Andrew Miller Julian Richings,riddle autism claustrophobia maze prime number,Vincenzo Natali
4640,Love and Other Catastrophes,Comedy Romance,Matt Day Matthew Dyktynski Alice Garner Frances O'Connor Radha Mitchell,independent film woman director,Emma-Kate Croghan
4641,I Married a Strange Person!,Drama Comedy Animation,Charis Michelsen Tom Larson Richard Spore,,Bill Plympton
4642,November,Drama Mystery Thriller,Courteney Cox James Le Gros Michael Ealy Nora Dunn Nick Offerman,post traumatic stress  disorder photographer loss of lover professor trauma,Greg Harrison
4643,Like Crazy,Drama Romance,Anton Yelchin Felicity Jones Jennifer Lawrence Charlie Bewley Alex Kingston,chair customs student visa parents blogger,Drake Doremus
4644,Teeth and Blood,Horror,Glenn Plummer Michelle Van Der Water Danielle Vega Greg Eagles,,
4645,Sugar Town,Comedy,John Taylor Michael Des Barres Martin Kemp Jade Gordon Larry Klein,woman director,Allison Anders
4646,The Motel,Drama Comedy,Jeffrey Chyau Sung Kang Jade Wu Samantha Futerman Alexis Chang,,Michael Kang
4647,The Canyons,Thriller Drama,Lindsay Lohan James Deen Gus Van Sant Nolan Gerard Funk Amanda Brooks,sex adultery jealousy nudity seduction,Paul Schrader
4648,On the Outs,Drama,Judy Marte Paola Mendoza Flaco Navaja Dominic Col\u00f3n Edward O'Blenis,prison drug dealer single mother teenage pregnancy woman director,Lori Silverbush
4649,Shotgun Stories,Drama Thriller,Michael Shannon Glenda Pannell Lynnsee Provence Douglas Ligon Barlow Jacobs,brother brother relationship loss of father arkansas,Jeff Nichols
4650,Exam,Thriller Mystery,Luke Mably Adar Beck Chris Carey Gemma Chan Nathalie Cox,gun room suspicion guard pill,Stuart Hazeldine
4651,The Sticky Fingers of Time,Science Fiction Drama,Terumi Matthews Nicole Zaray Belinda Becker James Urbaniak Thomas Pasley,future bisexuality time travel woman director,Hilary Brougher
4652,Sunday School Musical,Music,Chris Chatman Candise Lakota Krystle Connor Robert Acinapura Amy Ganser,high school woman director,Rachel Goldenberg
4653,Rust,Drama,Corbin Bernsen Frank Gallacher Lloyd Warner Audrey Lynn Tennent,,Corbin Bernsen
4654,Ink,Action Fantasy,Chris Kelly Jessica Duffy Quinn Hunchar Jeremy Make Jennifer Batter,supernatural father daughter relationship incubus,Jamin Winans
4655,The Christmas Bunny,Drama Family,Sophie Bolen Madeline Vail  Colby French Florence Henderson Charles Beale ,,Tom Seidman 
4656,Butterfly,Crime Drama,Stacy Keach Pia Zadora Orson Welles Ed McMahon June Lockhart,nudity seduction,Matt Cimber
4657,UnDivided,,,,
4658,The Frozen,Horror Thriller,Brit Morgan Noah Segan,bickering accident denial of death,Andrew Hyatt
4659,Horse Camp,Family Drama,Jordan Trovillion Dean Cain Sherryl Despres Dana Blackstone Annelyse Ahmad,horse teenage girl,Joel Paul Reisig
4660,Give Me Shelter,Documentary,Katie Cleary Robert Davi Carole Davis Alison Eastwood Tippi Hedren,helping animals,Kristin Rizzo
4661,The Big Parade,Drama Romance War,John Gilbert Ren\u00e9e Ador\u00e9e Hobart Bosworth Claire McDowell Claire Adams,world war i silent film,King Vidor
4662,Little Big Top,Comedy,Sid Haig Richard Riehle Mel England Jacob Zachar Travis Betz,independent film,
4663,Along the Roadside,Romance Comedy Music,Michael Madsen Iman Crosson Lazar Ristovski,road movie,Zoran Lisinac
4664,Bronson,Drama Action Crime,Tom Hardy Matt King James Lance Kelly Adams Katy Barker,prison isolation,Nicolas Winding Refn
4665,Western Religion,Western,Peter Shinkoda Merik Tadros Peter Sherayko Miles Szanto Jonathan Erickson Eisley,,James O'Brien
4666,Burn,Foreign Documentary,"Donald Austin Brendan ""Doogie"" Milewski Dave Parnell",michigan crisis fire fighting detroit woman director,Tom Putnam
4667,Urbania,Romance Drama,Dan Futterman Matt Keeslar Samuel Ball Lothaire Bluteau Alan Cumming,,Jon Matthews
4668,The Stewardesses,Comedy,Christina Hart Ronald South William Condos Anita de Moulin Paula Erikson,female nudity lesbian erotic movie,Al Silliman Jr.
4669,"The Beast from 20,000 Fathoms",Adventure Horror Science Fiction,Paul Hubschmid Paula Raymond Cecil Kellaway Kenneth Tobey Donald Woods,monster atomic bomb lighthouse arctic rampage,Eug\u00e8ne Louri\u00e9
4670,Mad Max,Adventure Action Thriller Science Fiction,Mel Gibson Joanne Samuel Hugh Keays-Byrne Steve Bisley Tim Burns,chain baby bridge post-apocalyptic dystopia,George Miller
4671,Swingers,Comedy Romance,Jon Favreau Vince Vaughn Ron Livingston Patrick Van Horn Alex D\u00e9sert,independent film stuffed animal hollywood drink swinger,Doug Liman
4672,A Fistful of Dollars,Western,Clint Eastwood Marianne Koch Gian Maria Volont\u00e9 Wolfgang Lukschy Jos\u00e9 Calvo,gang war victim of murder greed hostility spaghetti western,Sergio Leone
4673,She Done Him Wrong,Comedy,Mae West Cary Grant Owen Moore Gilbert Roland Noah Beery,singer night club owner,Lowell Sherman
4674,Short Cut to Nirvana: Kumbh Mela,,,,
4675,The Grace Card,Drama,"Michael Joiner Michael Higgenbottom Louis Gossett, Jr. Cindy Hodge",family's daily life bible platonic love hope church service,David Evans 
4676,Middle of Nowhere,Drama,David Oyelowo Maya Gilbert Sharon Lawrence Emayatzy Corinealdi Dondre Whitfield,prison woman director,Ava DuVernay
4677,Three,Romance Drama Comedy,Sophie Rois Sebastian Schipper Devid Striesow Annedore Kleist Alexander H\u00f6rbe,sex bisexual science,Tom Tykwer
4678,The Business of Fancydancing,Music Drama,Evan Adams Michelle St. John Gene Tagaban Swil Kanim Rebecca Carroll,independent film,Sherman Alexie
4679,Call + Response,Documentary,,,Justin Dillon
4680,Malevolence,Crime Horror Thriller,Samantha Dark Heather Magee Richard Glover R. Brandon Johnson,hostage psychopath abandoned house serial killer slasher,Stevan Mena
4681,Reality Show,,Adam Rifkin Kelley Menighan Hensley Kendra Sue Waldman Scott Anderson,wife husband relationship reality reality tv reality spoof,Adam Rifkin
4682,Super Hybrid,Horror,Shannon Beckner Oded Fehr Ryan Kennedy Adrien Dorval Duncan Fisher,,Eric Valette
4683,Baghead,Drama Comedy Horror,Ross Partridge Steve Zissis Greta Gerwig Elise Muller Jett Garner,mumblecore mumblegore,Jay Duplass
4684,American Beast,Horror,Armin Habibovich Victoria Lachelle Livingston Oden Taylor Scott Olson,terror horror fear wood grove,Livingston Oden
4685,The Case of the Grinning Cat,Documentary,,,Chris Marker
4686,Ordet,Drama,Birgitte Federspiel Preben Lerdorff Rye Henrik Malberg Emil Hass Christensen Ejner Federspiel,faith independent film religion religious fundamentalist pregnant wife,Carl Theodor Dreyer
4687,Good Dick,Comedy Drama Romance,Marianna Palka Jason Ritter Eric Edelstein Martin Starr Mark Webber,sexuality roommate misfit independent film relationship,Marianna Palka
4688,The Man from Earth,Science Fiction Drama,David Lee Smith Tony Todd John Billingsley Ellen Crawford Annika Peterson,philosophy secret birthday professor psychology,Richard Schenkman
4689,The Trials Of Darryl Hunt,Documentary,,woman director,Ricki Stern
4690,Samantha: An American Girl Holiday,Drama Family,Mia Farrow AnnaSophia Robb Olivia Ballantyne Kelsey Lewis Jordan Bridges,,Nadia Tass
4691,Yesterday Was a Lie,Drama Mystery Science Fiction Thriller,Chase Masterson John Newton Kipleigh Brown Mik Scriba Nathan Mobley,independent film,James Kerwin
4692,Theresa Is a Mother,Music Comedy Drama,Edie McClurg C. Fraser Press Richard Poe Robert Turano Matthew Gumley,,Darren Press
4693,H.,Thriller Drama Science Fiction,Robin Bartlett Rebecca Dayan Will Janowitz Julian Gamble,woman director,Rania Attieh
4694,Archaeology of a Woman,Drama,Sally Kirkland Victoria Clark James Murtaugh Karl Geary Mary Testa,woman director,Sharon Greytak
4695,Children of Heaven,Drama Comedy Family,Mohammad Amir Naji Amir Farrokh Hashemian Bahare Seddiqi,brother sister relationship class foot race,Majid Majidi
4696,Weekend,Drama Romance,Tom Cullen Chris New Jonathan Race Laura Freeman Loreto Murray,gay great britain one-night stand independent film gay relationship,Andrew Haigh
4697,She's Gotta Have It,Comedy Romance,Tracy Camilla Johns Tommy Redmond Hicks John Canada Terrell Spike Lee Raye Dowell,independent film lesbian,Spike Lee
4698,Butterfly Girl,Documentary,,woman director,Cary Bell
4699,The World Is Mine,Drama,Ana Maria Guran Iulia Ciochina Oana Rusu Ana Vatamanu Florin Hritcu,,Nicolae Constantin Tanase
4700,Another Earth,Drama Science Fiction,William Mapother Brit Marling Matthew-Lee Erlbach DJ Flava Meggan Lennon,earth tragedy janitor planet duplicate,Mike Cahill
4701,Sweet Sweetback's Baadasssss Song,Action Drama Romance,Simon Chuckster Melvin Van Peebles Hubert Scales Mario Van Peebles John Dullaghan,mexico black people pimp anti hero black panthers,Melvin Van Peebles
4702,Perfect Cowboy,Drama,Ken Roht Jeffrey Watkins William Nicol Sharon Bollum Paul Sutherland,,Ken Roht
4703,Tadpole,Comedy Drama Romance,Aaron Stanford Kate Mara Bebe Neuwirth John Ritter Sigourney Weaver,independent film,Gary Winick
4704,Once,Drama Music Romance,Glen Hansard Mark\u00e9ta Irglov\u00e1 Hugh Walsh Gerard Hendrick Alaistair Foley,rock and roll pop irland music style love of one's life,John Carney
4705,The Woman Chaser,Drama,Patrick Warburton Eugene Roche Ron Morgan Emily Newman Paul Malevich,charles willeford used car salesman,Robinson Devor
4706,The Horse Boy,Documentary,Simon Baron-Cohen Temple Grandin Roy Richard Grinker Rowan Isaacson Rupert Isaacson,autism independent film,Michel O. Scott
4707,When the Lights Went Out,Thriller Drama Horror,Kate Ashfield Jo Hartley Martin Compston Steven Waddington Craig Parkinson,newspaper exorcism poltergeist priest haunting,Pat Holden
4708,Heroes of Dirt,Action Drama,Joel Moody William Martinez Vivienne VanHorn,bmx,Eric Bugbee
4709,A Charlie Brown Christmas,Animation Family Comedy TV Movie,Ann Altieri Chris Doran Sally Dryer Bill Melendez Karen Mendelson,holiday christmas,Bill Melendez
4710,Antarctic Edge: 70° South,Documentary,,woman director,Dena Seidel
4711,Aroused,Documentary,Lisa Ann Kayden Kross Belladonna Katsuni Teagan Presley,pornography interview biography photography porno star,Deborah Anderson
4712,Top Spin,Documentary,,competition ping pong documentary woman director,Sara Newens
4713,Roger & Me,Documentary History,Michael Moore Roger B. Smith Rhonda Britton Fred Ross,capitalism economics unemployment corporate greed,Michael Moore
4714,An American in Hollywood,,J.D. Williams Hassan Johnson Anil Raman Richard Carroll Jr. Richard Carroll Jr.,,Sai Varadan
4715,Sound of My Voice,Science Fiction Drama Mystery,Brit Marling Christopher Denham Nicole Vicius Davenia McFadden Kandice Stroh,journalist independent film hand clapping game cult leader,Zal Batmanglij
4716,The Blood of My Brother: A Story of Death in Iraq,,,,
4717,Your Sister's Sister,Drama Comedy,Mark Duplass Emily Blunt Rosemarie DeWitt Mike Birbiglia Kate Bayley,sister sister relationship secret romance cottage relationship,Lynn Shelton
4718,A Dog's Breakfast,Comedy,David Hewlett Kate Hewlett Paul McGillion Christopher Judge Rachel Luttrell,independent film,David Hewlett
4719,The Married Woman,Drama Romance,Macha M\u00e9ril Bernard No\u00ebl Philippe Leroy Christophe Bourseiller Roger Leenhardt,sandstorm woman godard married,Jean-Luc Godard
4720,The Birth of a Nation,Drama,Nate Parker Armie Hammer Aja Naomi King Jackie Earle Haley Penelope Ann Miller,slavery,Nate Parker
4721,The Work and The Story,Comedy,Kirby Heyborne Christopher Robin Miller Eric Artell,,Nathan Smith Jones
4722,Facing the Giants,Drama,James Blackwell Alex Kendrick Shannen Fields Chris WIllis Tracy Goode,christian sport aftercreditsstinger,Alex Kendrick
4723,The Gallows,Horror Thriller,Cassidy Gifford Ryan Shoos Pfeifer Brown Reese Mishler Price T. Morgan,gallows high school tragedy hanging found footage,Travis Cluff
4724,Eraserhead,Drama Fantasy Horror Science Fiction,Jack Nance Charlotte Stewart Allen Joseph Jeanne Bates Judith Roberts,baby mutant claustrophobia nightmare parents-in-law,David Lynch
4725,Hollywood Shuffle,Comedy,Robert Townsend Craigus R. Johnson Helen Martin Starletta DuPois Keenen Ivory Wayans,black people ethnic stereotype,Robert Townsend
4726,The Mighty,Comedy Drama,Sharon Stone Elden Henson Kieran Culkin Gena Rowlands Harry Dean Stanton,ohio coming of age disabled learning disability birth defect,Peter Chelsom
4727,Penitentiary,Action Drama,Wilbur 'Hi-Fi' White Leon Isaac Kennedy Thommy Pollard  Hazel Spears  Donovan Womack ,prison boxing,Jamaa Fanaka
4728,The Lost Skeleton of Cadavra,Comedy Horror Science Fiction,Fay Masterson Andrew Parks Susan McConnell Brian Howe Jennifer Blaire,monster mutant skeleton alien life-form science,Larry Blamire
4729,Dude Where's My Dog?,Family,Gabriela Castillo Trish Cook Alexander G. Eckert Kevin Farley Dan Glenn,,Stephen Langford
4730,Cheap Thrills,Drama Comedy Crime,Pat Healy Ethan Embry Sara Paxton David Koechner Amanda Fuller,suspense mumblegore,E.L. Katz
4731,Indie Game: The Movie,Documentary,Jonathan Blow Phil Fish Edmund McMillen Tommy Refenes,games woman director programmers coding,Lisanne Pajot
4732,Straightheads,Thriller,Gillian Anderson Danny Dyer Adam Rayner Antony Byrne Anthony Calf,london england countryside rape sex trauma,Dan Reed
4733,Open Secret,Crime Mystery Thriller,John Ireland Jane Randolph Sheldon Leonard Roman Bohnen George Tyne,suspense film noir,John Reinhardt
4734,Echo Dr.,Thriller Action Drama Science Fiction,Johnathan Hurley Jordan Savage Dane Bowman Claire Gordon-Harper,,Patrick Ryan Sims
4735,The Night Visitor,Crime Horror,Max von Sydow Trevor Howard Liv Ullmann Per Oscarsson Rupert Davies,revenge escape from prison suspense,L\u00e1szl\u00f3 Benedek
4736,The Past Is a Grotesque Animal,Documentary Music,Dottie Alexander Derek Almstead David Barnes Kevin Barnes Nina Barnes,artist band,Jason Miller
4737,"Peace, Propaganda & the Promised Land",Documentary,,,Sut Jhally
4738,Pi,Mystery Drama Thriller,Sean Gullette Mark Margolis Ben Shenkman Samia Shoaib Pamela Hart,hacker mathematician helix headache chaos theory,Darren Aronofsky
4739,"I Love You, Don't Touch Me!",Comedy Romance,Marla Schaffel Mitchell Whitfield Michael Harris Meredith Scott Lynn Jack McGee,woman director,Julie Davis
4740,20 Dates,Romance Comedy,Myles Berkowitz Tia Carrere Elisabeth Wagner Richard Arlook Robert McKee,hidden camera biography reality show mockumentary,Myles Berkowitz
4741,Queen Crab,Science Fiction,Michelle Simone Miller Kathryn Metz A.J. DeLucia Steve Diasparra Danielle Donahue,monster crab actress,Brett Piper
4742,Super Size Me,Documentary Comedy Drama,Morgan Spurlock Daryl Isaacs Lisa Ganjhu Stephen Siegel Bridget Bennett,experiment health junk food food industry fast food,Morgan Spurlock
4743,The FP,Comedy,Jason Trost Lee Valmassy Art Hsu Caitlyn Folley Brandon Barrera,,Brandon Trost
4744,Happy Christmas,Comedy Drama,Anna Kendrick Melanie Lynskey Mark Webber Lena Dunham Joe Swanberg,family mumblecore christmas,Joe Swanberg
4745,The Brain That Wouldn't Die,Horror Science Fiction,Jason Evers Virginia Leith Doris Brent Audrey Devereal Eddie Carmel,transplantation experiment mutant brain fianc\u00e9,Joseph Green
4746,Tiger Orange,Drama,Mark Strano Frankie Valenti Johnny Hazzard Darryl Stephens Gregory Marcel,gay lgbt,Wade Gasque
